ID	TEXT	ANN1	ANN2	ANN1 (neutral)	ANN2 (neutral)	ANN1 (anger)	ANN2 (anger)	ANN1 (disgust)	ANN2 (disgust)	ANN1 (fear)	ANN2 (fear)	ANN1 (joy)	ANN2 (joy)	ANN1 (sadness)	ANN2 (sadness)	ANN1 (surprise)	ANN2 (surprise)
song3-63	"Wearin' light blue Pumas, a whole lotta gold"	joy	joy	noneutral	noneutral	noanger	noanger	nodisgust	nodisgust	nofear	nofear	joy	joy	nosadness	nosadness	nosurprise	nosurprise
song3-64	And jams like these keep me in control	joy	joy	noneutral	noneutral	noanger	noanger	nodisgust	nodisgust	nofear	nofear	joy	joy	nosadness	nosadness	nosurprise	nosurprise
song3-65	"I'm the leader of the show, keepin' you on the go"	joy	joy	noneutral	noneutral	noanger	noanger	nodisgust	nodisgust	nofear	nofear	joy	joy	nosadness	nosadness	nosurprise	nosurprise
song3-66	And I know I can't live without my radio	joy	sadness	noneutral	noneutral	noanger	noanger	nodisgust	nodisgust	nofear	nofear	joy	nojoy	nosadness	sadness	nosurprise	nosurprise
song3-67	Your energy level starts to increase	joy	surprise	noneutral	noneutral	noanger	noanger	nodisgust	nodisgust	nofear	nofear	joy	nojoy	nosadness	nosadness	nosurprise	surprise
song3-68	As my big beat is slowly released	joy	neutral	noneutral	neutral	noanger	noanger	nodisgust	nodisgust	nofear	nofear	joy	nojoy	nosadness	nosadness	nosurprise	nosurprise
song3-69	I'm on the radio and at the jam	joy	joy	noneutral	noneutral	noanger	noanger	nodisgust	nodisgust	nofear	nofear	joy	joy	nosadness	nosadness	nosurprise	nosurprise
song3-70	LL Cool J is who I am	joy	neutral	noneutral	neutral	noanger	noanger	nodisgust	nodisgust	nofear	nofear	joy	nojoy	nosadness	nosadness	nosurprise	nosurprise
song3-71	"Imma make ya dance, boogie down and rock"	joy	joy	noneutral	noneutral	noanger	noanger	nodisgust	nodisgust	nofear	nofear	joy	joy	nosadness	nosadness	nosurprise	nosurprise
song3-72	And you'll scratch and shake to my musical plot	joy	disgust	noneutral	noneutral	noanger	noanger	nodisgust	disgust	nofear	nofear	joy	nojoy	nosadness	nosadness	nosurprise	nosurprise
song3-73	And to expand my musical plan	joy	neutral	noneutral	neutral	noanger	noanger	nodisgust	nodisgust	nofear	nofear	joy	nojoy	nosadness	nosadness	nosurprise	nosurprise
song3-74	"Cut Creator, rock the beat with your hands"	joy	anger	noneutral	noneutral	noanger	anger	nodisgust	nodisgust	nofear	nofear	joy	nojoy	nosadness	nosadness	nosurprise	nosurprise
song3-75	"That's right, so don't try to front the move"	anger	anger	noneutral	noneutral	anger	anger	nodisgust	nodisgust	nofear	nofear	nojoy	nojoy	nosadness	nosadness	nosurprise	nosurprise
song3-76	As you become motivated by the funky groove	joy	surprise	noneutral	noneutral	noanger	noanger	nodisgust	nodisgust	nofear	nofear	joy	nojoy	nosadness	nosadness	nosurprise	surprise
song3-77	You can see me and Earl chillin' on the block	joy	neutral	noneutral	neutral	noanger	noanger	nodisgust	nodisgust	nofear	nofear	joy	nojoy	nosadness	nosadness	nosurprise	nosurprise
song3-78	With my box cold kickin' with the gangster rock	joy	anger	noneutral	noneutral	noanger	anger	nodisgust	nodisgust	nofear	nofear	joy	nojoy	nosadness	nosadness	nosurprise	nosurprise
song3-79	"See people can't stop me, neither can the police"	anger	anger	noneutral	noneutral	anger	anger	nodisgust	nodisgust	nofear	nofear	nojoy	nojoy	nosadness	nosadness	nosurprise	nosurprise
song3-80	I'm a musical maniac to say the least	joy	anger	noneutral	noneutral	noanger	anger	nodisgust	nodisgust	nofear	nofear	joy	nojoy	nosadness	nosadness	nosurprise	nosurprise
song3-81	For you and your radio I made this for	joy	joy	noneutral	noneutral	noanger	noanger	nodisgust	nodisgust	nofear	nofear	joy	joy	nosadness	nosadness	nosurprise	nosurprise
song3-82	Cool J's here to devastate once more	joy	anger	noneutral	noneutral	noanger	anger	nodisgust	nodisgust	nofear	nofear	joy	nojoy	nosadness	nosadness	nosurprise	nosurprise
song3-83	"Pullin' all the girls, takin' out MCs"	joy	joy	noneutral	noneutral	noanger	noanger	nodisgust	nodisgust	nofear	nofear	joy	joy	nosadness	nosadness	nosurprise	nosurprise
song3-84	"If ya try to disrespect me, I just say Please!"	anger	anger	noneutral	noneutral	anger	anger	nodisgust	nodisgust	nofear	nofear	nojoy	nojoy	nosadness	nosadness	nosurprise	nosurprise
song3-85	Here to command the hip-hop land	joy	joy	noneutral	noneutral	noanger	noanger	nodisgust	nodisgust	nofear	nofear	joy	joy	nosadness	nosadness	nosurprise	nosurprise
song3-86	Kick it live with a box inside my hand	joy	anger	noneutral	noneutral	noanger	anger	nodisgust	nodisgust	nofear	nofear	joy	nojoy	nosadness	nosadness	nosurprise	nosurprise
song3-87	"I'm the leader of the show, keepin' you on the go"	joy	joy	noneutral	noneutral	noanger	noanger	nodisgust	nodisgust	nofear	nofear	joy	joy	nosadness	nosadness	nosurprise	nosurprise
song3-88	But I know I can't live without my radio	joy	sadness	noneutral	noneutral	noanger	noanger	nodisgust	nodisgust	nofear	nofear	joy	nojoy	nosadness	sadness	nosurprise	nosurprise
song3-89	"Farmers Boulevard, yeah, you know that's where me and E hang out, cool"	joy	neutral	noneutral	neutral	noanger	noanger	nodisgust	nodisgust	nofear	nofear	joy	nojoy	nosadness	nosadness	nosurprise	nosurprise
song3-90	"out, you know what I'm sayin' That's where the crib's at."	joy	neutral	noneutral	neutral	noanger	noanger	nodisgust	nodisgust	nofear	nofear	joy	nojoy	nosadness	nosadness	nosurprise	nosurprise
song4-01	We're talking away	sadness	neutral	noneutral	neutral	noanger	noanger	nodisgust	nodisgust	nofear	nofear	nojoy	nojoy	sadness	nosadness	nosurprise	nosurprise
song4-02	I don't know what	sadness	surprise	noneutral	noneutral	noanger	noanger	nodisgust	nodisgust	nofear	nofear	nojoy	nojoy	sadness	nosadness	nosurprise	surprise
song4-03	I'm to say I'll say it anyway	sadness	surprise	noneutral	noneutral	noanger	noanger	nodisgust	nodisgust	nofear	nofear	nojoy	nojoy	sadness	nosadness	nosurprise	surprise
song4-04	Today's another day to find you	sadness	surprise	noneutral	noneutral	noanger	noanger	nodisgust	nodisgust	nofear	nofear	nojoy	nojoy	sadness	nosadness	nosurprise	surprise
song4-05	Shying away	sadness	sadness	noneutral	noneutral	noanger	noanger	nodisgust	nodisgust	nofear	nofear	nojoy	nojoy	sadness	sadness	nosurprise	nosurprise
song4-06	"I'll be coming for your love, OK"	joy	joy	noneutral	noneutral	noanger	noanger	nodisgust	nodisgust	nofear	nofear	joy	joy	nosadness	nosadness	nosurprise	nosurprise
song4-07	"Take on me, take me on"	joy	neutral	noneutral	neutral	noanger	noanger	nodisgust	nodisgust	nofear	nofear	joy	nojoy	nosadness	nosadness	nosurprise	nosurprise
song4-08	I'll be gone	sadness	neutral	noneutral	neutral	noanger	noanger	nodisgust	nodisgust	nofear	nofear	nojoy	nojoy	sadness	nosadness	nosurprise	nosurprise
song4-09	In a day or two	sadness	neutral	noneutral	neutral	noanger	noanger	nodisgust	nodisgust	nofear	nofear	nojoy	nojoy	sadness	nosadness	nosurprise	nosurprise
song4-10	So needless to say	sadness	surprise	noneutral	noneutral	noanger	noanger	nodisgust	nodisgust	nofear	nofear	nojoy	nojoy	sadness	nosadness	nosurprise	surprise
song4-11	I'm odds and ends	sadness	surprise	noneutral	noneutral	noanger	noanger	nodisgust	nodisgust	nofear	nofear	nojoy	nojoy	sadness	nosadness	nosurprise	surprise
song4-12	But that's me stumbling away	joy	sadness	noneutral	noneutral	noanger	noanger	nodisgust	nodisgust	nofear	nofear	joy	nojoy	nosadness	sadness	nosurprise	nosurprise
song4-13	Slowly learning that life is OK.	joy	sadness	noneutral	noneutral	noanger	noanger	nodisgust	nodisgust	nofear	nofear	joy	nojoy	nosadness	sadness	nosurprise	nosurprise
song4-14	Say after me	sadness	neutral	noneutral	neutral	noanger	noanger	nodisgust	nodisgust	nofear	nofear	nojoy	nojoy	sadness	nosadness	nosurprise	nosurprise
song4-15	It's no better to be safe than sorry	sadness	sadness	noneutral	noneutral	noanger	noanger	nodisgust	nodisgust	nofear	nofear	nojoy	nojoy	sadness	sadness	nosurprise	nosurprise
song4-16	"Take on me, take me on"	joy	neutral	noneutral	neutral	noanger	noanger	nodisgust	nodisgust	nofear	nofear	joy	nojoy	nosadness	nosadness	nosurprise	nosurprise
song4-17	I'll be gone	sadness	neutral	noneutral	neutral	noanger	noanger	nodisgust	nodisgust	nofear	nofear	nojoy	nojoy	sadness	nosadness	nosurprise	nosurprise
song4-18	In a day or two	sadness	neutral	noneutral	neutral	noanger	noanger	nodisgust	nodisgust	nofear	nofear	nojoy	nojoy	sadness	nosadness	nosurprise	nosurprise
song4-19	Oh the things that you say	joy	neutral	noneutral	neutral	noanger	noanger	nodisgust	nodisgust	nofear	nofear	joy	nojoy	nosadness	nosadness	nosurprise	nosurprise
song4-20	Is it life or	sadness	neutral	noneutral	neutral	noanger	noanger	nodisgust	nodisgust	nofear	nofear	nojoy	nojoy	sadness	nosadness	nosurprise	nosurprise
song4-21	Just a play my worries away	sadness	sadness	noneutral	noneutral	noanger	noanger	nodisgust	nodisgust	nofear	nofear	nojoy	nojoy	sadness	sadness	nosurprise	nosurprise
song4-22	You're all the things I've got to	joy	neutral	noneutral	neutral	noanger	noanger	nodisgust	nodisgust	nofear	nofear	joy	nojoy	nosadness	nosadness	nosurprise	nosurprise
song4-23	remember	joy	neutral	noneutral	neutral	noanger	noanger	nodisgust	nodisgust	nofear	nofear	joy	nojoy	nosadness	nosadness	nosurprise	nosurprise
song4-24	You're shying away	sadness	sadness	noneutral	noneutral	noanger	noanger	nodisgust	nodisgust	nofear	nofear	nojoy	nojoy	sadness	sadness	nosurprise	nosurprise
song4-25	I'll be coming for you anyway	joy	joy	noneutral	noneutral	noanger	noanger	nodisgust	nodisgust	nofear	nofear	joy	joy	nosadness	nosadness	nosurprise	nosurprise
song4-26	"Take on me, take me on"	joy	neutral	noneutral	neutral	noanger	noanger	nodisgust	nodisgust	nofear	nofear	joy	nojoy	nosadness	nosadness	nosurprise	nosurprise
song4-27	I'll be gone	sadness	neutral	noneutral	neutral	noanger	noanger	nodisgust	nodisgust	nofear	nofear	nojoy	nojoy	sadness	nosadness	nosurprise	nosurprise
song4-28	In a day or two	sadness	neutral	noneutral	neutral	noanger	noanger	nodisgust	nodisgust	nofear	nofear	nojoy	nojoy	sadness	nosadness	nosurprise	nosurprise
song5-01	I got my head checked	surprise	neutral	noneutral	neutral	noanger	noanger	nodisgust	nodisgust	nofear	nofear	nojoy	nojoy	nosadness	nosadness	surprise	nosurprise
song5-02	By a jumbo jet	surprise	neutral	noneutral	neutral	noanger	noanger	nodisgust	nodisgust	nofear	nofear	nojoy	nojoy	nosadness	nosadness	surprise	nosurprise
song5-03	It wasn't easy	surprise	sadness	noneutral	noneutral	noanger	noanger	nodisgust	nodisgust	nofear	nofear	nojoy	nojoy	nosadness	sadness	surprise	nosurprise
song5-04	"But nothing is, no"	surprise	sadness	noneutral	noneutral	noanger	noanger	nodisgust	nodisgust	nofear	nofear	nojoy	nojoy	nosadness	sadness	surprise	nosurprise
song5-05	Whoo hoo!	joy	neutral	noneutral	neutral	noanger	noanger	nodisgust	nodisgust	nofear	nofear	joy	nojoy	nosadness	nosadness	nosurprise	nosurprise
song5-06	Well I feel heavy metal	joy	anger	noneutral	noneutral	noanger	anger	nodisgust	nodisgust	nofear	nofear	joy	nojoy	nosadness	nosadness	nosurprise	nosurprise
song5-07	Whoo hoo!	joy	neutral	noneutral	neutral	noanger	noanger	nodisgust	nodisgust	nofear	nofear	joy	nojoy	nosadness	nosadness	nosurprise	nosurprise
song5-08	And I'm pins and I'm needles	joy	anger	noneutral	noneutral	noanger	anger	nodisgust	nodisgust	nofear	nofear	joy	nojoy	nosadness	nosadness	nosurprise	nosurprise
song5-09	Whoo hoo!	joy	neutral	noneutral	neutral	noanger	noanger	nodisgust	nodisgust	nofear	nofear	joy	nojoy	nosadness	nosadness	nosurprise	nosurprise
song5-10	Well I lie and I'm easy	sadness	anger	noneutral	noneutral	noanger	anger	nodisgust	nodisgust	nofear	nofear	nojoy	nojoy	sadness	nosadness	nosurprise	nosurprise
song5-11	All of the time and I'm never sure why I need you	sadness	anger	noneutral	noneutral	noanger	anger	nodisgust	nodisgust	nofear	nofear	nojoy	nojoy	sadness	nosadness	nosurprise	nosurprise
song5-12	Pleased to meet ya	joy	joy	noneutral	noneutral	noanger	noanger	nodisgust	nodisgust	nofear	nofear	joy	joy	nosadness	nosadness	nosurprise	nosurprise
song5-13	I got my head done	joy	neutral	noneutral	neutral	noanger	noanger	nodisgust	nodisgust	nofear	nofear	joy	nojoy	nosadness	nosadness	nosurprise	nosurprise
song5-14	When I was young	joy	neutral	noneutral	neutral	noanger	noanger	nodisgust	nodisgust	nofear	nofear	joy	nojoy	nosadness	nosadness	nosurprise	nosurprise
song5-15	It's not my problem	joy	anger	noneutral	noneutral	noanger	anger	nodisgust	nodisgust	nofear	nofear	joy	nojoy	nosadness	nosadness	nosurprise	nosurprise
song5-16	It's not my problem	joy	anger	noneutral	noneutral	noanger	anger	nodisgust	nodisgust	nofear	nofear	joy	nojoy	nosadness	nosadness	nosurprise	nosurprise
song5-17	Whoo hoo!	joy	neutral	noneutral	neutral	noanger	noanger	nodisgust	nodisgust	nofear	nofear	joy	nojoy	nosadness	nosadness	nosurprise	nosurprise
song5-18	Well I feel heavy metal	joy	anger	noneutral	noneutral	noanger	anger	nodisgust	nodisgust	nofear	nofear	joy	nojoy	nosadness	nosadness	nosurprise	nosurprise
song5-19	Whoo hoo!	joy	neutral	noneutral	neutral	noanger	noanger	nodisgust	nodisgust	nofear	nofear	joy	nojoy	nosadness	nosadness	nosurprise	nosurprise
song5-20	And I'm pins and I'm needles	joy	anger	noneutral	noneutral	noanger	anger	nodisgust	nodisgust	nofear	nofear	joy	nojoy	nosadness	nosadness	nosurprise	nosurprise
song5-21	Whoo hoo!	joy	neutral	noneutral	neutral	noanger	noanger	nodisgust	nodisgust	nofear	nofear	joy	nojoy	nosadness	nosadness	nosurprise	nosurprise
song5-22	Well I lie and I'm easy	sadness	anger	noneutral	noneutral	noanger	anger	nodisgust	nodisgust	nofear	nofear	nojoy	nojoy	sadness	nosadness	nosurprise	nosurprise
song5-23	All of the time and I'm never sure why I need you	sadness	anger	noneutral	noneutral	noanger	anger	nodisgust	nodisgust	nofear	nofear	nojoy	nojoy	sadness	nosadness	nosurprise	nosurprise
song5-24	Pleased to meet ya	joy	joy	noneutral	noneutral	noanger	noanger	nodisgust	nodisgust	nofear	nofear	joy	joy	nosadness	nosadness	nosurprise	nosurprise
song5-25	"Yeah, yeah"	joy	neutral	noneutral	neutral	noanger	noanger	nodisgust	nodisgust	nofear	nofear	joy	nojoy	nosadness	nosadness	nosurprise	nosurprise
song5-26	"Yeah, yeah"	joy	neutral	noneutral	neutral	noanger	noanger	nodisgust	nodisgust	nofear	nofear	joy	nojoy	nosadness	nosadness	nosurprise	nosurprise
song5-27	"Yeah, yeah"	joy	neutral	noneutral	neutral	noanger	noanger	nodisgust	nodisgust	nofear	nofear	joy	nojoy	nosadness	nosadness	nosurprise	nosurprise
song5-28	"Oh, yeah"	joy	neutral	noneutral	neutral	noanger	noanger	nodisgust	nodisgust	nofear	nofear	joy	nojoy	nosadness	nosadness	nosurprise	nosurprise
song6-01	Back in black	joy	neutral	noneutral	neutral	noanger	noanger	nodisgust	nodisgust	nofear	nofear	joy	nojoy	nosadness	nosadness	nosurprise	nosurprise
song6-02	I hit the sack	joy	neutral	noneutral	neutral	noanger	noanger	nodisgust	nodisgust	nofear	nofear	joy	nojoy	nosadness	nosadness	nosurprise	nosurprise
song6-03	I've been too long I'm glad to be back	joy	joy	noneutral	noneutral	noanger	noanger	nodisgust	nodisgust	nofear	nofear	joy	joy	nosadness	nosadness	nosurprise	nosurprise
song6-04	"Yes I'm, let loose"	joy	surprise	noneutral	noneutral	noanger	noanger	nodisgust	nodisgust	nofear	nofear	joy	nojoy	nosadness	nosadness	nosurprise	surprise
song6-05	From the noose	joy	sadness	noneutral	noneutral	noanger	noanger	nodisgust	nodisgust	nofear	nofear	joy	nojoy	nosadness	sadness	nosurprise	nosurprise
song6-06	That's kept me hanging about	joy	sadness	noneutral	noneutral	noanger	noanger	nodisgust	nodisgust	nofear	nofear	joy	nojoy	nosadness	sadness	nosurprise	nosurprise
song6-07	I keep looking at the sky	joy	neutral	noneutral	neutral	noanger	noanger	nodisgust	nodisgust	nofear	nofear	joy	nojoy	nosadness	nosadness	nosurprise	nosurprise
song6-08	Cause it's gettin' me high	joy	joy	noneutral	noneutral	noanger	noanger	nodisgust	nodisgust	nofear	nofear	joy	joy	nosadness	nosadness	nosurprise	nosurprise
song6-09	Forget the hearse 'cause I'll never die	joy	joy	noneutral	noneutral	noanger	noanger	nodisgust	nodisgust	nofear	nofear	joy	joy	nosadness	nosadness	nosurprise	nosurprise
song6-10	I got nine lives	joy	neutral	noneutral	neutral	noanger	noanger	nodisgust	nodisgust	nofear	nofear	joy	nojoy	nosadness	nosadness	nosurprise	nosurprise
song6-11	Cat's eyes	joy	neutral	noneutral	neutral	noanger	noanger	nodisgust	nodisgust	nofear	nofear	joy	nojoy	nosadness	nosadness	nosurprise	nosurprise
song6-12	Usin' every one of them and running wild	joy	surprise	noneutral	noneutral	noanger	noanger	nodisgust	nodisgust	nofear	nofear	joy	nojoy	nosadness	nosadness	nosurprise	surprise
song6-13	Cause I'm back	joy	neutral	noneutral	neutral	noanger	noanger	nodisgust	nodisgust	nofear	nofear	joy	nojoy	nosadness	nosadness	nosurprise	nosurprise
song6-14	"Yes, I'm back"	joy	neutral	noneutral	neutral	noanger	noanger	nodisgust	nodisgust	nofear	nofear	joy	nojoy	nosadness	nosadness	nosurprise	nosurprise
song6-15	"Well, I'm back"	joy	neutral	noneutral	neutral	noanger	noanger	nodisgust	nodisgust	nofear	nofear	joy	nojoy	nosadness	nosadness	nosurprise	nosurprise
song6-16	"Yes, I'm back"	joy	neutral	noneutral	neutral	noanger	noanger	nodisgust	nodisgust	nofear	nofear	joy	nojoy	nosadness	nosadness	nosurprise	nosurprise
song6-17	"Well, I'm back, back"	joy	neutral	noneutral	neutral	noanger	noanger	nodisgust	nodisgust	nofear	nofear	joy	nojoy	nosadness	nosadness	nosurprise	nosurprise
song6-18	(Well) I'm back in black	joy	neutral	noneutral	neutral	noanger	noanger	nodisgust	nodisgust	nofear	nofear	joy	nojoy	nosadness	nosadness	nosurprise	nosurprise
song6-19	"Yes, I'm back in black"	joy	neutral	noneutral	neutral	noanger	noanger	nodisgust	nodisgust	nofear	nofear	joy	nojoy	nosadness	nosadness	nosurprise	nosurprise
song6-20	Back in the back	joy	neutral	noneutral	neutral	noanger	noanger	nodisgust	nodisgust	nofear	nofear	joy	nojoy	nosadness	nosadness	nosurprise	nosurprise
song6-21	Of a Cadillac	joy	neutral	noneutral	neutral	noanger	noanger	nodisgust	nodisgust	nofear	nofear	joy	nojoy	nosadness	nosadness	nosurprise	nosurprise
song6-22	"Number one with a bullet, I'm a power pack"	joy	neutral	noneutral	neutral	noanger	noanger	nodisgust	nodisgust	nofear	nofear	joy	nojoy	nosadness	nosadness	nosurprise	nosurprise
song6-23	"Yes, I'm in a bang"	joy	joy	noneutral	noneutral	noanger	noanger	nodisgust	nodisgust	nofear	nofear	joy	joy	nosadness	nosadness	nosurprise	nosurprise
song6-24	With a gang	joy	neutral	noneutral	neutral	noanger	noanger	nodisgust	nodisgust	nofear	nofear	joy	nojoy	nosadness	nosadness	nosurprise	nosurprise
song6-25	They've got to catch me if they want me to hang	anger	joy	noneutral	noneutral	anger	noanger	nodisgust	nodisgust	nofear	nofear	nojoy	joy	nosadness	nosadness	nosurprise	nosurprise
song6-26	Cause I'm back on the track	joy	joy	noneutral	noneutral	noanger	noanger	nodisgust	nodisgust	nofear	nofear	joy	joy	nosadness	nosadness	nosurprise	nosurprise
song6-27	And I'm leadin' the pack	joy	joy	noneutral	noneutral	noanger	noanger	nodisgust	nodisgust	nofear	nofear	joy	joy	nosadness	nosadness	nosurprise	nosurprise
song6-28	Nobody's gonna get me on another rap	anger	joy	noneutral	noneutral	anger	noanger	nodisgust	nodisgust	nofear	nofear	nojoy	joy	nosadness	nosadness	nosurprise	nosurprise
song6-29	So look at me now	joy	joy	noneutral	noneutral	noanger	noanger	nodisgust	nodisgust	nofear	nofear	joy	joy	nosadness	nosadness	nosurprise	nosurprise
song6-30	I'm just makin' my play	joy	joy	noneutral	noneutral	noanger	noanger	nodisgust	nodisgust	nofear	nofear	joy	joy	nosadness	nosadness	nosurprise	nosurprise
song6-31	"Don't try to push your luck, just get out of my way"	joy	anger	noneutral	noneutral	noanger	anger	nodisgust	nodisgust	nofear	nofear	joy	nojoy	nosadness	nosadness	nosurprise	nosurprise
song6-32	Cause I'm back	joy	neutral	noneutral	neutral	noanger	noanger	nodisgust	nodisgust	nofear	nofear	joy	nojoy	nosadness	nosadness	nosurprise	nosurprise
song6-33	"Yes, I'm back"	joy	neutral	noneutral	neutral	noanger	noanger	nodisgust	nodisgust	nofear	nofear	joy	nojoy	nosadness	nosadness	nosurprise	nosurprise
song6-34	"Well, I'm back"	joy	neutral	noneutral	neutral	noanger	noanger	nodisgust	nodisgust	nofear	nofear	joy	nojoy	nosadness	nosadness	nosurprise	nosurprise
song6-35	"Yes, I'm back"	joy	neutral	noneutral	neutral	noanger	noanger	nodisgust	nodisgust	nofear	nofear	joy	nojoy	nosadness	nosadness	nosurprise	nosurprise
song6-36	"Well, I'm back, back"	joy	neutral	noneutral	neutral	noanger	noanger	nodisgust	nodisgust	nofear	nofear	joy	nojoy	nosadness	nosadness	nosurprise	nosurprise
song6-37	(Well) I'm back in black	joy	neutral	noneutral	neutral	noanger	noanger	nodisgust	nodisgust	nofear	nofear	joy	nojoy	nosadness	nosadness	nosurprise	nosurprise
song6-38	"Yes, I'm back in black"	joy	neutral	noneutral	neutral	noanger	noanger	nodisgust	nodisgust	nofear	nofear	joy	nojoy	nosadness	nosadness	nosurprise	nosurprise
song6-39	"Well, I'm back, Yes I'm back"	joy	neutral	noneutral	neutral	noanger	noanger	nodisgust	nodisgust	nofear	nofear	joy	nojoy	nosadness	nosadness	nosurprise	nosurprise
song6-40	"Well, I'm back, Yes I'm back"	joy	neutral	noneutral	neutral	noanger	noanger	nodisgust	nodisgust	nofear	nofear	joy	nojoy	nosadness	nosadness	nosurprise	nosurprise
song6-41	"Well, I'm back, back"	joy	neutral	noneutral	neutral	noanger	noanger	nodisgust	nodisgust	nofear	nofear	joy	nojoy	nosadness	nosadness	nosurprise	nosurprise
song6-42	Well I'm back in black	joy	neutral	noneutral	neutral	noanger	noanger	nodisgust	nodisgust	nofear	nofear	joy	nojoy	nosadness	nosadness	nosurprise	nosurprise
song6-43	Yes I'm back in black	joy	neutral	noneutral	neutral	noanger	noanger	nodisgust	nodisgust	nofear	nofear	joy	nojoy	nosadness	nosadness	nosurprise	nosurprise
song6-44	Hooo yeah	joy	neutral	noneutral	neutral	noanger	noanger	nodisgust	nodisgust	nofear	nofear	joy	nojoy	nosadness	nosadness	nosurprise	nosurprise
song6-45	Ohh yeah	joy	neutral	noneutral	neutral	noanger	noanger	nodisgust	nodisgust	nofear	nofear	joy	nojoy	nosadness	nosadness	nosurprise	nosurprise
song6-46	Yes I am	joy	neutral	noneutral	neutral	noanger	noanger	nodisgust	nodisgust	nofear	nofear	joy	nojoy	nosadness	nosadness	nosurprise	nosurprise
song6-47	"Oooh yeah, yeah Oh yeah"	joy	neutral	noneutral	neutral	noanger	noanger	nodisgust	nodisgust	nofear	nofear	joy	nojoy	nosadness	nosadness	nosurprise	nosurprise
song6-48	Back in now	joy	neutral	noneutral	neutral	noanger	noanger	nodisgust	nodisgust	nofear	nofear	joy	nojoy	nosadness	nosadness	nosurprise	nosurprise
song6-49	"Well I'm back, I'm back"	joy	neutral	noneutral	neutral	noanger	noanger	nodisgust	nodisgust	nofear	nofear	joy	nojoy	nosadness	nosadness	nosurprise	nosurprise
song6-50	"Back, I'm back"	joy	neutral	noneutral	neutral	noanger	noanger	nodisgust	nodisgust	nofear	nofear	joy	nojoy	nosadness	nosadness	nosurprise	nosurprise
song6-51	"Back, I'm back"	joy	neutral	noneutral	neutral	noanger	noanger	nodisgust	nodisgust	nofear	nofear	joy	nojoy	nosadness	nosadness	nosurprise	nosurprise
song6-52	"Back, I'm back"	joy	neutral	noneutral	neutral	noanger	noanger	nodisgust	nodisgust	nofear	nofear	joy	nojoy	nosadness	nosadness	nosurprise	nosurprise
song6-53	"Back, I'm back"	joy	neutral	noneutral	neutral	noanger	noanger	nodisgust	nodisgust	nofear	nofear	joy	nojoy	nosadness	nosadness	nosurprise	nosurprise
song6-54	Back	joy	neutral	noneutral	neutral	noanger	noanger	nodisgust	nodisgust	nofear	nofear	joy	nojoy	nosadness	nosadness	nosurprise	nosurprise
song6-55	Back in black	joy	neutral	noneutral	neutral	noanger	noanger	nodisgust	nodisgust	nofear	nofear	joy	nojoy	nosadness	nosadness	nosurprise	nosurprise
song6-56	Yes I'm back in black	joy	neutral	noneutral	neutral	noanger	noanger	nodisgust	nodisgust	nofear	nofear	joy	nojoy	nosadness	nosadness	nosurprise	nosurprise
song6-57	Outta sight	joy	neutral	noneutral	neutral	noanger	noanger	nodisgust	nodisgust	nofear	nofear	joy	nojoy	nosadness	nosadness	nosurprise	nosurprise
song7-01	She Was More Like A Beauty Queen From A Movie Scene	joy	surprise	noneutral	noneutral	noanger	noanger	nodisgust	nodisgust	nofear	nofear	joy	nojoy	nosadness	nosadness	nosurprise	surprise
song7-02	"I Said Don't Mind, But What Do You Mean I Am The One"	joy	surprise	noneutral	noneutral	noanger	noanger	nodisgust	nodisgust	nofear	nofear	joy	nojoy	nosadness	nosadness	nosurprise	surprise
song7-03	Who Will Dance On The Floor In The Round	joy	neutral	noneutral	neutral	noanger	noanger	nodisgust	nodisgust	nofear	nofear	joy	nojoy	nosadness	nosadness	nosurprise	nosurprise
song7-04	She Said I Am The One Who Will Dance On The Floor In The Round	joy	surprise	noneutral	noneutral	noanger	noanger	nodisgust	nodisgust	nofear	nofear	joy	nojoy	nosadness	nosadness	nosurprise	surprise
song7-05	"She Told Me Her Name Was Billie Jean, As She Caused A Scene"	joy	surprise	noneutral	noneutral	noanger	noanger	nodisgust	nodisgust	nofear	nofear	joy	nojoy	nosadness	nosadness	nosurprise	surprise
song7-06	Then Every Head Turned With Eyes That Dreamed Of Being The One	joy	surprise	noneutral	noneutral	noanger	noanger	nodisgust	nodisgust	nofear	nofear	joy	nojoy	nosadness	nosadness	nosurprise	surprise
song7-07	Who Will Dance On The Floor In The Round	joy	neutral	noneutral	neutral	noanger	noanger	nodisgust	nodisgust	nofear	nofear	joy	nojoy	nosadness	nosadness	nosurprise	nosurprise
song7-08	People Always Told Me Be Careful Of What You Do	fear	fear	noneutral	noneutral	noanger	noanger	nodisgust	nodisgust	fear	fear	nojoy	nojoy	nosadness	nosadness	nosurprise	nosurprise
song7-09	And Don't Go Around Breaking Young Girls' Hearts	fear	fear	noneutral	noneutral	noanger	noanger	nodisgust	nodisgust	fear	fear	nojoy	nojoy	nosadness	nosadness	nosurprise	nosurprise
song7-10	And Mother Always Told Me Be Careful Of Who You Love	fear	fear	noneutral	noneutral	noanger	noanger	nodisgust	nodisgust	fear	fear	nojoy	nojoy	nosadness	nosadness	nosurprise	nosurprise
song7-11	And Be Careful Of What You Do 'Cause The Lie Becomes The Truth	fear	fear	noneutral	noneutral	noanger	noanger	nodisgust	nodisgust	fear	fear	nojoy	nojoy	nosadness	nosadness	nosurprise	nosurprise
